	fuel_cooking	fuel_cooking_Electricity_Gas	fuel_cooking_Paraffin_Stove	fuel_cooking_Open_fires_inside	fuel_cooking_Open_fires_outside	fuel_heating	fuel_heating_Electricity	fuel_heating_Gas	fuel_cooking_heating_Paraffin	fuel_heating_Wood_Coal	fuel_heating_Other
143	1	1.0	0.0	0.0	0.0	1	1.0	0.0	0.0	0.0	0.0
144	1	1.0	0.0	0.0	0.0	1;3	1.0	0.0	1.0	0.0	0.0
145	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
146	1	1.0	0.0	0.0	0.0	1;3	1.0	0.0	1.0	0.0	0.0
147	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
148	1	1.0	0.0	0.0	0.0	1;2	1.0	1.0	0.0	0.0	0.0
149	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
150	1	1.0	0.0	0.0	0.0	2	0.0	1.0	0.0	0.0	0.0
151	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
152	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
153	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
154	1	1.0	0.0	0.0	0.0	1;3	1.0	0.0	1.0	0.0	0.0
155	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
156	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
157	1	1.0	0.0	0.0	0.0	1	1.0	0.0	0.0	0.0	0.0
158	1	1.0	0.0	0.0	0.0	5	0.0	0.0	0.0	0.0	1.0
159	1	1.0	0.0	0.0	0.0	5	0.0	0.0	0.0	0.0	1.0
160	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
161	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
162	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
163	1	1.0	0.0	0.0	0.0	1	1.0	0.0	0.0	0.0	0.0
164	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
165	1	1.0	0.0	0.0	0.0	3	0.0	0.0	1.0	0.0	0.0
166	1	1.0	0.0	0.0	0.0	1	1.0	0.0	0.0	0.0	0.0
167	1;2	1.0	1.0	0.0	0.0	1	1.0	0.0	0.0	0.0	0.0
168	2;4	0.0	1.0	0.0	1.0	4	0.0	0.0	0.0	1.0	0.0
169	2	0.0	1.0	0.0	0.0	4	0.0	0.0	0.0	1.0	0.0
170	1;4	1.0	0.0	0.0	1.0	4	0.0	0.0	0.0	1.0	0.0
171	4	0.0	0.0	0.0	1.0	4	0.0	0.0	0.0	1.0	0.0
172	2	0.0	1.0	0.0	0.0	4	0.0	0.0	0.0	1.0	0.0
173	2;4	0.0	1.0	0.0	1.0	4	0.0	0.0	0.0	1.0	0.0
174	2;4	0.0	1.0	0.0	1.0	3	0.0	0.0	1.0	0.0	0.0
175	4	0.0	0.0	0.0	1.0	4	0.0	0.0	0.0	1.0	0.0
176	2;4	0.0	1.0	0.0	1.0	3	0.0	0.0	1.0	0.0	0.0
177	2;4	0.0	1.0	0.0	1.0	3	0.0	0.0	1.0	0.0	0.0
178	2;4	0.0	1.0	0.0	1.0	3	0.0	0.0	1.0	0.0	0.0
